checksum_sha256,effective_from,effective_to,format,id,notes,parser_status,retrieved_at,source_id,source_url,version_label
5834d849743a3eab2b8c03e826a5ed6a488a6f65cf4c4148da3ec227e5007805,2026-07-01,,XML,au_mbs_20260701_xml,Authoritative July 2026 current-release XML. Raw XML remains ignored; derived rows are limited to the approved field scope.,validated,2026-07-19T00:00:00Z,au_mbs,https://www.mbsonline.gov.au/internet/mbsonline/publishing.nsf/650f3eec0dfb990d3ca25692100069854/d4bd04ca56657072ca258df70023b066/$FILE/MBS-XML-20260701.XML,MBS 20260701 current-release XML
,2026-07-01,,ZIP behind AMA licence gate,us_cms_clfs_26clabq3_ama_zip,"CMS page lists 26CLABQ3 with 2,206 records; download passes through an AMA licence gate and is manual-only in this repo.",prototype,,us_cms_clfs,https://www.cms.gov/medicare/payment/fee-schedules/clinical-laboratory-fee-schedule-clfs/files/26clabq3,CMS CLFS 26CLABQ3 CY 2026 Q3 release
,2026-07-01,,REST API JSON/CSV,au_pbs_api_v3_current_month,Public PBS API/CSV distribution; use API rate limits and schedule-code metadata.,prototype,,au_pbs,https://data.pbs.gov.au/document/91327.html,PBS API/CSV current monthly distribution
,2026-07-01,,ZIP/XLSX/CSV manual extract,us_cms_asp_july_2026_payment_limit,July 2026 ASP payment-limit files are price evidence only; file presence does not decide coverage.,prototype,,us_cms_asp,https://www.cms.gov/medicare/payment/part-b-drugs/asp-pricing-files,CMS ASP July 2026 Medicare Part B payment-limit files
,2026-07-01,,nested ZIP/CSV,us_cms_pfs_2026_revision_c_carrier,"Revision 26C carrier pricing rows; derived public bundle excludes CPT descriptors and retains code, locality, modifier, status and payment fields only.",validated,2026-07-01T00:00:00Z,us_cms_pfs,https://www.cms.gov/medicare/payment/physician-fee-schedule/search,CMS PFS 2026 Revision C carrier pricing
3b646565695329aa399e937883c68d5d424d0df5eaab2f22baa0e08d44fdbe87,,,OBO Graph JSON,hpo_current_20260723,Checksum-bound HPO ontology snapshot; candidate mappings are hypotheses and require blinded adjudication.,validated,2026-07-23T00:00:00Z,hpo,https://purl.obolibrary.org/obo/hp.json,HPO current ontology retrieved 2026-07-23
4aa1f75d2a3a915b0713ce95012699220b6b4c4e945d1f278e7a3ea63ed9a1e6,,,openFDA JSON API,us_fda_device_classification_20260723_page1,"First 1,000 current device classification records from a 7,084-record corpus; sufficient for the bounded candidate frame but not represented as a complete FDA archive.",validated,2026-07-23T00:00:00Z,us_fda_device_classification,https://api.fda.gov/device/classification.json?limit=1000,openFDA device classification first page retrieved 2026-07-23
d910f107c128ea07534dbfd089b9c86f99c881bb36919726e37dcc2403b2359c,,,paginated openFDA JSON API,us_fda_device_classification_20260723_complete,"Complete current 7,084-record device classification corpus acquired deterministically across eight pages; raw aggregate remains ignored and derived generic classification fields retain openFDA provenance.",validated,2026-07-23T00:00:00Z,us_fda_device_classification,https://api.fda.gov/device/classification.json,Complete openFDA device classification corpus retrieved 2026-07-23
e81e29a27575718dc1f0cf80b1371b283bcba53f446f27fc85f74c71def99829,2026-07-06,,RRF in ZIP,rxnorm_cpc_20260706,Current Prescribable Content release explicitly marked no-license-required by NLM; published MD5 767678e3b5b1d6fe358b61c21659f3ef and archive SHA-256 verified before parsing.,validated,2026-07-23T00:00:00Z,rxnorm,https://download.nlm.nih.gov/rxnorm/RxNorm_full_prescribe_07062026.zip,RxNorm Current Prescribable Content 2026-07-06
d45a158e02694c1539e7f88192c611883e377181eda86dc213359707bcacbacb,2026-07-01,,ZIP/CSV/XLSX/TXT/PDF,us_cms_pfs_rvu26c,"Official RVU26C archive verified. Numeric CPT descriptors are used only in ignored local mapping enrichment; tracked outputs retain checksums, counts, parameters and restrictions but no CPT descriptors.",validated,2026-07-23T00:00:00Z,us_cms_pfs,https://www.cms.gov/files/zip/rvu26c-updated-06-30-2026.zip,CMS PFS RVU26C July 2026 release
313bbcec30028cf84e0554e4a1af940ae24ccba52ef286f8a0749f8f75d39576,2026-07-01,,XML,nz_pharmac_schedule_2026_07,"Official monthly Pharmaceutical Schedule XML. Derived rows retain pack identifiers, labels and published subsidy only; they do not represent confidential rebates or net prices.",validated,2026-07-27T00:00:00+10:00,nz_pharmac,https://schedule.pharmac.govt.nz/pub/schedule/archive/Schedule_2026-07.xml,PHARMAC Pharmaceutical Schedule July 2026
2bd3a3e75e30d3e8c6b6623824cc8018f65b0e7fc0e24ced15d02beba9b43bf1,2026-04-08,,XLSX,uk_genomic_test_directory_rare_v9,Official rare and inherited disease directory v9. Derived coverage-decision rows are bounded to commissioned indication and test metadata and do not imply universal patient eligibility.,validated,2026-07-27T00:00:00+10:00,uk_genomic_test_directory,https://www.england.nhs.uk/wp-content/uploads/2018/08/rare-and-inherited-disease-national-genomics-test-directory-v9.xlsx,NHS rare and inherited disease Genomic Test Directory v9
b227defd1f54b7836558a92d875905f0fa4e7cb27951539d142ad36cc6712d0d,2026-04-01,2027-03-31,XLSX,uk_nhs_payment_scheme_2026_27_annex_a,Official Annex A prices workbook. Initial reviewed adapter is explicitly bounded to the genomics guide-price sheet and does not infer coverage or cost equivalence.,validated,2026-07-27T00:00:00+10:00,uk_nhs_payment_scheme,https://www.england.nhs.uk/wp-content/uploads/2026/03/26-27-NHSPS-Annex-A-Prices-workbook.xlsx,NHS Payment Scheme 2026/27 Annex A prices workbook
5beb03539c13bf3d60933fbb46faa18fc3d87cb3741d118d20e427016608cff6,2026-06-02,,ZIP/fixed-width text,ca_on_ohip_master_text_2026_06_02,"Official machine-readable master text ZIP. Derived rows retain service code, effective dates and first positive fee only; the file contains no service descriptors.",validated,2026-07-27T00:00:00+10:00,ca_on_ohip,https://ontario.ca/files/2026-06/moh-ohip-fee-schedule-master-text-2026-06-02.zip,Ontario OHIP master text 2026-06-02
3901cd99dd9e27ca3ee562a2329e45435c8e2ed1019b68d60d376a9483edc8e0,2026-07-20,,ZIP/nested CSV,us_cms_mcd_ncd_2026_07_20,"Official MCD NCD export. Derived rows exclude long HTML document text and retain only NCD identity, title, dates and national/termination flags.",validated,2026-07-27T00:00:00+10:00,us_cms_mcd,https://downloads.cms.gov/medicare-coverage-database/downloads/exports/ncd.zip,CMS MCD National Coverage Determinations export 2026-07-20
