access_tier,data_owner,domain,format,historical_versions,id,jurisdiction,licence_notes,machine_readable,notes,primary_url,refresh_cadence,reliability,schedule,system,tags,utilisation_data
tier_2,public,medicines,PDF/HTML/XML fragments,True,uk_nhs_drug_tariff,England,Public; monthly and not always tidy for analytics.,False,Monthly reimbursement prices and pharmacy remuneration rules.,https://www.nhsbsa.nhs.uk/pharmacies-gp-practices-and-appliance-contractors/drug-tariff,quarterly,high,Drug Tariff,NHSBSA,"[""medicines"", ""tariff"", ""pharmacy""]",True
tier_1,public,genomics,XLSX/PDF,True,uk_genomic_test_directory,England,"Public NHS publication; use as coverage/eligibility map, not a pure price list.",True,"Commissioned genomic tests, clinical indications, eligibility and request routes.",https://www.england.nhs.uk/publication/national-genomic-test-directories/,quarterly,high,National Genomic Test Directory,NHS Genomic Medicine Service,"[""genomics"", ""eligibility"", ""coverage""]",False
tier_2,public,medical_services,PDF,True,ca_on_ohip,Canada - Ontario,Public provincial publication; not clean bulk data.,False,Large provincial physician services schedule.,https://www.ontario.ca/page/ohip-schedule-benefits-and-fees,quarterly,high,Schedule of Benefits,OHIP,"[""canada"", ""services"", ""physician""]",True
tier_2,public,medical_services,PDF/HTML,True,ca_bc_msp,Canada - British Columbia,Public provincial schedule; parse with validation.,False,Alternative Canadian fee schedule with provincial variation.,https://www2.gov.bc.ca/gov/content/health/practitioner-professional-resources/msp,quarterly,medium,Medical Services Commission Payment Schedule,MSP,"[""canada"", ""services""]",True
tier_2,public,medical_services,PDF,True,ca_ab_somb,Canada - Alberta,Public provincial schedule; parse with validation.,False,Useful for multi-province Canadian comparator.,https://www.alberta.ca/medical-price-list,quarterly,medium,Schedule of Medical Benefits,AHCIP,"[""canada"", ""services""]",True
tier_1,public,medicines_devices,HTML/CSV/API-like downloads,True,nz_pharmac,New Zealand,Public schedule; confirm licence for redistribution.,True,Funded medicines and public hospital medical devices.,https://pharmac.govt.nz/pharmaceutical-schedule,quarterly,high,Pharmaceutical Schedule,PHARMAC,"[""medicines"", ""devices"", ""restrictions""]",True
tier_2,public,medical_services,HTML/PDF/ZIP,True,de_ebm,Germany,Public German schedule; translation and point-value conversion needed.,False,Binding outpatient service billing basis for statutory care.,https://www.kbv.de/html/ebm.php,quarterly,high,Einheitlicher Bewertungsmaßstab,GKV/KBV,"[""germany"", ""services"", ""points""]",True
tier_1,public,hospital,XLSX/PDF,True,de_gdrg,Germany,Public hospital payment catalogues; German-language governance.,True,Hospital DRG weights and catalogues.,https://www.g-drg.de/,quarterly,high,G-DRG catalogues,InEK,"[""germany"", ""hospital"", ""drg""]",True
tier_2,public,medical_services,HTML/CSV/XML varies,True,fr_ccam,France,Public; French terminology and multiple nomenclatures.,False,Professional service nomenclature and tariffs.,https://www.ameli.fr/,quarterly,medium,CCAM/NGAP tariffs,Assurance Maladie,"[""france"", ""services""]",True
tier_2,public,devices,CSV/HTML,True,fr_lpp,France,Public device/prosthesis list; validate current format.,True,Device/prosthesis reimbursement list.,https://www.ameli.fr/,quarterly,medium,Liste des Produits et Prestations,Assurance Maladie,"[""devices"", ""france""]",True
tier_2,public,coverage_decisions,HTML/PDF,True,fr_haspub,France,Public evaluations; not a fee schedule.,False,"HTA evidence, clinical added value and reimbursement recommendations.",https://www.has-sante.fr/,quarterly,high,HAS decisions and evaluations,HAS,"[""hta"", ""coverage"", ""france""]",False
tier_1,public,hospital_specialist,XLSX/CSV/PDF,True,nl_nza_dbc,Netherlands,Public regulated prices; negotiated segments need caution.,True,Care product tariff tables and rules.,https://www.nza.nl/,quarterly,high,DBC care products and tariffs,NZa,"[""netherlands"", ""dbc"", ""tariff""]",True
tier_1,public,medical_services,Web/CSV-like exports,True,be_inami,Belgium,Public nomenclature and reimbursement references.,True,Service nomenclature and reimbursed amounts.,https://www.inami.fgov.be/,quarterly,medium,NomenSoft nomenclature,INAMI/RIZIV,"[""belgium"", ""services""]",True
tier_2,public,medical_services,PDF/XLSX,True,jp_mhlw_fee,Japan,Public; Japanese language and points-to-yen model.,False,Centrally revised medical service points.,https://www.mhlw.go.jp/,quarterly,high,National medical fee schedule,MHLW,"[""japan"", ""points"", ""services""]",True
tier_2,public,medicines,PDF/XLSX,True,jp_nhi_drug_prices,Japan,Public; translation/mapping and price revision history needed.,False,National medicine reimbursement price list.,https://www.mhlw.go.jp/,quarterly,high,NHI Drug Price Standard,MHLW,"[""japan"", ""medicines""]",True
tier_1,public,medical_services,Open data CSV,True,tw_nhi_services,Taiwan,Open government data; verify terms and English/Chinese fields.,True,"Service codes, payment points, names and effective dates.",https://data.gov.tw/en/datasets/9405,quarterly,high,Medical service payment standards,National Health Insurance,"[""taiwan"", ""open_data"", ""services""]",True
tier_3,public,medical_services,Portal/API/PDF varies,True,kr_hira,South Korea,Public extracts vary; some analyses require application or Korean expertise.,False,Fee-schedule reimbursement and claims-data ecosystem.,https://www.hira.or.kr/,quarterly,medium,Fee schedules and claims data references,HIRA/NHI,"[""korea"", ""services""]",True
tier_2,public,medical_services,PDF/XML varies,True,ch_tarmed_tardoc,Switzerland,Public/sectoral tariff materials; transition from TARMED to TARDOC requires versioning.,False,Outpatient service tariff architecture.,https://www.fmh.ch/,quarterly,medium,TARMED/TARDOC outpatient tariffs,Compulsory health insurance,"[""switzerland"", ""services""]",True
tier_1,public,hospital,XLSX/PDF,True,ch_swissdrg,Switzerland,Public hospital tariff structures.,True,Acute hospital case-mix weights.,https://www.swissdrg.org/,quarterly,high,SwissDRG catalogues,SwissDRG,"[""switzerland"", ""hospital"", ""drg""]",True
tier_1,public,medicines,Web/CSV-like,True,ch_specialities_list,Switzerland,Public list of reimbursed medicines and prices.,True,Medicine reimbursement list and prices.,https://www.spezialitaetenliste.ch/,quarterly,high,Specialities List,FOPH,"[""switzerland"", ""medicines""]",True
tier_1,public,hospital,XLSX/PDF,True,dk_drg,Denmark,Public; Danish language in some files.,True,Hospital DRG tariffs and cost calculations.,https://sundhedsdatastyrelsen.dk/,quarterly,high,DRG tariffs and cost weights,Danish Health Data Authority,"[""denmark"", ""hospital"", ""drg""]",True
tier_2,public,medical_services,PDF/Excel,True,no_helfo_tariffs,Norway,Public; Norwegian-language parsing and code governance.,True,Professional claims tariffs.,https://www.helsedirektoratet.no/tilskudd-og-finansiering/finansiering/takster,quarterly,medium,Tariffs for reimbursement claims,Helfo,"[""norway"", ""services""]",True
tier_1,public,medicines,Web/CSV-like,True,se_tlv,Sweden,Public; database export terms need confirmation.,True,Medicine price and subsidy status.,https://www.tlv.se/,quarterly,high,Medicine price and subsidy database,TLV,"[""sweden"", ""medicines""]",True
tier_1,public,hospital,XLSX/PDF,True,se_norddrg,Sweden,Public; regional price variation outside national weights.,True,Hospital DRG weights and groupers.,https://www.socialstyrelsen.se/,quarterly,high,NordDRG weights,Socialstyrelsen,"[""sweden"", ""hospital"", ""drg""]",True
tier_2,public,price_benchmarks,Web/CSV-like,True,sg_fee_benchmarks,Singapore,Public benchmark not payer reimbursement schedule.,True,"Useful patient-facing benchmark comparator, not equivalent to MBS/CMS.",https://www.moh.gov.sg/managing-expenses/bills-and-fee-benchmarks/hospital-bills-and-fee-benchmarks,quarterly,medium,Hospital bills and fee benchmarks,Ministry of Health,"[""singapore"", ""benchmarks""]",False
tier_1,public,contextual,API/CSV,True,oecd_health_stats,Multi-country,"OECD terms; contextual macro indicators, not schedules.",True,"Normalization context: spending, PPP, utilisation, workforce.",https://www.oecd.org/health/health-data.htm,quarterly,high,Health statistics and expenditure indicators,OECD,"[""context"", ""macro""]",True
tier_1,public,contextual,API/CSV,True,who_gho,Multi-country,WHO data terms; contextual indicators.,True,"Population, mortality, system metrics for normalization.",https://www.who.int/data/gho,quarterly,high,Global Health Observatory,WHO,"[""context"", ""global""]",True
tier_1,public,hospital_outpatient,ZIP/CSV/PDF,True,us_cms_asc,United States,Public CMS files; cite calendar-year final rule and addenda versions.,True,Useful for separating ambulatory facility payment from professional payment.,https://www.cms.gov/medicare/payment/prospective-payment-systems/ambulatory-surgical-center-asc,annual,high,Ambulatory Surgical Center Payment System,Medicare,"[""asc"", ""surgery"", ""facility"", ""opps""]",False
tier_1,public,devices_equipment,ZIP/CSV/PDF,True,us_cms_dmepos,United States,Public CMS files; redistribution should preserve CMS attribution.,True,"Device/equipment comparator for Australian prostheses, assistive technology and hospital device questions.",https://www.cms.gov/medicare/payment/fee-schedules/dmepos,quarterly,high,DMEPOS Fee Schedule,Medicare,"[""devices"", ""equipment"", ""prosthetics"", ""supplies""]",False
tier_1,public,post_acute,ZIP/CSV/PDF,True,us_cms_snf,United States,Public CMS payment files and rulemaking material.,True,Adds long-term and post-acute reimbursement architecture to the atlas.,https://www.cms.gov/medicare/payment/prospective-payment-systems/skilled-nursing-facility-snf,annual,high,Skilled Nursing Facility Prospective Payment System,Medicare,"[""post-acute"", ""nursing"", ""case-mix""]",True
tier_1,public,community_care,ZIP/CSV/PDF,True,us_cms_home_health,United States,Public CMS payment files and rulemaking material.,True,"Useful for comparisons of hospital substitution, home-based care and bundled community services.",https://www.cms.gov/medicare/payment/prospective-payment-systems/home-health,annual,high,Home Health Prospective Payment System,Medicare,"[""home-health"", ""community"", ""case-mix""]",True
tier_2,public,medicines,CSV/API,True,us_cms_partd_puf,United States,Public use files; suppressions and rebate opacity limit net-price interpretation.,True,"Not a fee schedule, but essential context for drug utilisation and public spending comparisons.",https://data.cms.gov/provider-summary-by-type-of-service/medicare-part-d-prescribers,annual,high,Part D Prescriber and Drug Spending Public Use Files,Medicare Part D,"[""part-d"", ""prescribing"", ""spending"", ""utilisation""]",True
tier_1,public,utilisation,CSV/XLSX/HTML,True,au_aihw_mbs_pbs_stats,Australia,Public aggregate statistics; check AIHW/Services Australia attribution and table-specific notes.,True,Adds realised use and benefits paid to complement schedule-level prices.,https://www.aihw.gov.au/reports/health-welfare-expenditure/medicare-and-pbs-statistics,monthly/annual,high,MBS and PBS utilisation and expenditure statistics,AIHW/Services Australia,"[""utilisation"", ""expenditure"", ""mbs"", ""pbs""]",True
tier_2,public,coverage_decisions,HTML/PDF/API,True,uk_nice_guidance,England,Public guidance; reuse must preserve NICE copyright/licence terms.,False,Important HTA comparator for PBAC/MSAC and CMS coverage decisions.,https://www.nice.org.uk/guidance,continuous,high,NICE technology appraisal and diagnostics guidance,NICE,"[""hta"", ""coverage"", ""guidance"", ""technology-appraisal""]",False
tier_2,public,costs,CSV/XLSX,True,uk_nhs_reference_costs,England,"Public cost collection outputs; preserve year, currency and costing-method metadata.",True,Useful for distinguishing tariff price from observed cost.,https://www.england.nhs.uk/costing-in-the-nhs/national-cost-collection/,annual,high,NHS reference costs / patient-level costing outputs,NHS England,"[""costs"", ""hospital"", ""activity"", ""reference-costs""]",True
tier_2,public,medical_services,PDF/HTML,True,ca_qc_ramq,Canada - Quebec,Public provincial material; French-language extraction and tariff-version tracking required.,False,Adds a civil-law/French-language Canadian provincial comparator.,https://www.ramq.gouv.qc.ca/,irregular,medium,Physician remuneration agreements and tariffs,RAMQ,"[""canada"", ""physician"", ""tariffs"", ""province""]",False
tier_2,mixed,hospital,PDF/XLSX,True,ca_ciihi_cmg,Canada,Public methodology and selected products; some detailed files may require registration or licence.,False,"Hospital case-mix comparator for IHACPA, DRG and NHS cost/tariff work.",https://www.cihi.ca/en/case-mix,annual,high,Case Mix Groups and resource intensity weights,CIHI,"[""hospital"", ""case-mix"", ""resource-intensity""]",True
tier_2,public,medicines,XLSX/PDF/HTML,True,ie_hse_reimbursement,Ireland,Public reimbursement information; check table-level reuse and update terms.,True,Comparable medicine reimbursement and community-scheme reference.,https://www.sspcrs.ie/,monthly,medium,Reimbursement lists and community drug schemes,HSE/PCRS,"[""medicines"", ""community"", ""reimbursement""]",False
tier_2,public,medicines,HTML/CSV/API,True,fi_kela_reimbursements,Finland,Public reimbursement information; licensing and API terms need confirmation before mirroring.,True,Nordic medicine-benefit comparator for PBS/PHARMAC/TLV.,https://www.kela.fi/medicine-expenses,continuous,high,Medicine reimbursement and price data,Kela,"[""medicines"", ""nordic"", ""reimbursement""]",False
tier_2,public,medicines,HTML/search,True,es_bifimed,Spain,Public medicine-financing information; extraction and reuse conditions need review.,False,Adds Southern European medicine financing and price-list comparator.,https://www.sanidad.gob.es/profesionales/medicamentos.do,continuous,medium,BIFIMED medicine financing and price information,Ministry of Health,"[""medicines"", ""financing"", ""price""]",False
tier_2,public,medicines,HTML/CSV/PDF,True,it_aifa_reimbursement,Italy,Public regulatory and reimbursement material; exact data-product licensing needs review.,False,Useful for HTA-to-price/reimbursement analyses of pharmaceuticals.,https://www.aifa.gov.it/,continuous,high,AIFA reimbursed medicines and pricing decisions,AIFA,"[""medicines"", ""hta"", ""reimbursement""]",False
tier_1,public,medical_services,DAT/CSV/HTML,True,br_sigtap,Brazil,Public DATASUS table; confirm official redistribution and citation requirements.,True,"Important non-OECD-style public tariff comparator with procedures, medicines and devices.",http://sigtap.datasus.gov.br/,monthly,medium,"SIGTAP procedures, medicines and OPM table",SUS,"[""global-south"", ""procedure-table"", ""sus"", ""devices""]",True
tier_2,public,medical_services,PDF/XLSX,True,za_upfs,South Africa,Public material; exact annual schedule location and reuse terms need validation.,False,Potential public-sector fee schedule comparator for patient charges and service tariffs.,https://www.health.gov.za/,annual,medium,Uniform Patient Fee Schedule,National Department of Health,"[""fees"", ""hospital"", ""global-south""]",False
tier_2,public,hospital,PDF/XLSX/HTML,True,in_abpmjay_hbp,India,Public scheme materials; verify versioned package-rate files before mirroring.,False,Large public-purchaser package-rate comparator; useful for bundled payment architecture.,https://nha.gov.in/PM-JAY,irregular,medium,Health Benefit Packages and rates,AB-PMJAY,"[""hospital-packages"", ""global-south"", ""insurance""]",True
tier_2,public,coverage_decisions,HTML/PDF,True,is_hta_catalogue,Israel,Public government material; extraction and English/Hebrew mapping need validation.,False,Interesting transparent prioritisation comparator for annual health-basket additions.,https://www.gov.il/en/departments/ministry_of_health,annual,medium,National Health Basket and technology updates,Ministry of Health,"[""health-basket"", ""hta"", ""coverage""]",False
tier_3,public,medical_services,PDF/HTML,True,mx_imss_costs,Mexico,Public tariff/cost publications vary by year; confirm official versions and reuse.,False,Potential Latin American public-provider cost/tariff comparator; not yet a first-wave source.,https://www.imss.gob.mx/,annual/irregular,medium,Published medical service unit costs and tariffs,IMSS,"[""tariffs"", ""latin-america"", ""service-costs""]",False
tier_1,public,palliative_end_of_life,PDF/ZIP/CSV,True,us_cms_hospice,United States,Public CMS payment files and annual rulemaking material.,True,Adds end-of-life care payment architecture and daily-rate comparison potential.,https://www.cms.gov/medicare/payment/prospective-payment-systems/hospice,annual,high,Hospice Payment System,Medicare,"[""hospice"", ""palliative"", ""daily-rates""]",True
