caveats,difficulty,id,methods,policy_insight,primary_output,purpose,required_sources,stage,title
Some ontologies have licence restrictions and cannot be mirrored.,low,ontology_maturity_score,"[""schema audit"", ""ontology coverage"", ""manual mapping sampling""]",Identifies data infrastructure gaps that limit comparative policy analysis.,Maturity matrix and mapping backlog.,"Assess how well each schedule links to standard terminologies like LOINC, ATC, ICD, SNOMED CT, HPO and RxNorm.","[""au_mbs"", ""au_pbs"", ""us_cms_pfs"", ""us_cms_clfs"", ""uk_genomic_test_directory"", ""tw_nhi_services""]",design,Ontology and mapping maturity score
A schedule can be transparent while effective net payment remains opaque.,low,schedule_transparency_benchmark,"[""metadata scoring"", ""automated link checks"", ""schema validation""]",Creates a policy transparency index across public reimbursement systems.,Transparency leaderboard and reproducible registry.,"Score public accessibility, machine readability, historical availability, versioning and provenance.","[""au_mbs"", ""au_pbs"", ""au_ihacpa_nep"", ""au_msac"", ""au_pbac"", ""us_cms_pfs"", ""us_cms_clfs"", ""us_cms_opps"", ""us_cms_ipps"", ""us_cms_asp"", ""us_cms_mcd"", ""us_medicaid_state_fees"", ""uk_nhs_payment_scheme"", ""uk_nhs_drug_tariff"", ""uk_genomic_test_directory"", ""ca_on_ohip"", ""ca_bc_msp"", ""ca_ab_somb"", ""nz_pharmac"", ""de_ebm"", ""de_gdrg"", ""fr_ccam"", ""fr_lpp"", ""fr_haspub"", ""nl_nza_dbc"", ""be_inami"", ""jp_mhlw_fee"", ""jp_nhi_drug_prices"", ""tw_nhi_services"", ""kr_hira"", ""ch_tarmed_tardoc"", ""ch_swissdrg"", ""ch_specialities_list"", ""dk_drg"", ""no_helfo_tariffs"", ""se_tlv"", ""se_norddrg"", ""sg_fee_benchmarks"", ""oecd_health_stats"", ""who_gho""]",design,Schedule transparency benchmark
Requires current evidence and regulatory source expansion.,high,ai_diagnostics_reimbursement_readiness,"[""taxonomy mapping"", ""scenario analysis"", ""regulatory comparison""]",Anticipates policy gaps before AI diagnostics diffuse.,Readiness framework and case studies.,"Assess whether schedules can accommodate algorithmic diagnostics, software as a medical device and AI-supported testing.","[""au_msac"", ""us_cms_pfs"", ""us_cms_clfs"", ""us_cms_mcd"", ""uk_nhs_payment_scheme""]",design,AI diagnostics reimbursement readiness
Payment loadings may not translate into service availability.,medium,equity_weighting_and_rural_loadings,"[""rule extraction"", ""GIS joining"", ""scenario modelling""]",Shows where reimbursement corrects or compounds geographic access inequity.,Equity adjustment catalogue.,"Map explicit rural, remote, deprivation or workforce-adjustment mechanisms.","[""au_mbs"", ""us_cms_pfs"", ""us_cms_ipps"", ""uk_nhs_payment_scheme"", ""ca_on_ohip"", ""no_helfo_tariffs""]",design,Equity weighting and rurality adjustments
"Price changes can reflect coding changes, bundling changes or policy shocks rather than pure revaluation.",medium,price_revision_velocity,"[""version differencing"", ""calendar alignment"", ""inflation adjustment"", ""outlier detection""]","Identifies whether schedules actively manage inflation, technology maturity and budget pressure or allow legacy relativities to persist.",Versioned price-change panel and revision-timing dashboard.,"Measure how often and how predictably schedules revise prices, weights and relative values.","[""au_mbs"", ""au_pbs"", ""us_cms_pfs"", ""us_cms_clfs"", ""jp_mhlw_fee"", ""dk_drg""]",design,Price revision velocity and indexation discipline
Local discretion may be informal and operational rather than explicit in published schedules.,medium,local_vs_national_discretion,"[""document coding"", ""graph modelling"", ""restriction extraction""]",Distinguishes responsive local adaptation from postcode-lottery risk and maps where national schedules still hide local access rules.,Coverage-discretion taxonomy and jurisdiction heatmap.,"Compare whether coverage decisions are centralised nationally or delegated to local payers, contractors, regions or insurers.","[""us_cms_mcd"", ""us_medicaid_state_fees"", ""au_msac"", ""au_mbs"", ""nl_nza_dbc"", ""se_tlv""]",design,Local versus national coverage discretion map
Confidential price agreements and compassionate-access pathways can be invisible.,high,rare_disease_reimbursement_pathways,"[""case studies"", ""restriction coding"", ""decision chronology"", ""qualitative comparative analysis""]","Shows whether systems rely on HTA flexibility, managed entry, exceptional funding, local discretion or delayed access.",Rare-disease pathway typology and case-study matrix.,"Map how high-uncertainty, low-volume technologies enter public reimbursement systems.","[""au_pbac"", ""au_msac"", ""us_cms_mcd"", ""us_cms_partd_puf"", ""uk_nice_guidance"", ""nz_pharmac"", ""it_aifa_reimbursement""]",design,Rare disease and ultra-orphan reimbursement pathways
Hospital procurement discounts and private contracts may dominate effective prices.,high,device_and_prosthesis_visibility,"[""basket construction"", ""bundling classification"", ""manual validation""]",Reveals where device policy is transparent enough for price comparison versus obscured by procurement and episode bundling.,Device visibility index and exemplar device basket.,"Compare whether devices, prostheses and supplies are itemised, bundled or hidden inside facility payments.","[""us_cms_dmepos"", ""us_cms_opps"", ""au_ihacpa_nep"", ""fr_lpp"", ""nz_pharmac"", ""ch_swissdrg""]",design,Device and prosthesis price visibility comparison
Temporary pandemic policies and payer-specific rules require careful date handling.,medium,telehealth_payment_architecture,"[""item text mining"", ""basket matching"", ""policy timeline extraction""]","Shows whether virtual care is treated as equivalent care, a lower-cost substitute, or a tightly restricted exception.",Telehealth rule matrix and fee-parity ratio table.,"Compare telehealth itemisation, parity, modality restrictions and post-pandemic persistence.","[""au_mbs"", ""us_cms_pfs"", ""ca_on_ohip"", ""uk_nhs_payment_scheme"", ""tw_nhi_services""]",design,Telehealth payment architecture and parity rules
"Capitation, quality payments and grants may sit outside item-level fee schedules.",medium,primary_care_longitudinal_incentives,"[""taxonomy design"", ""basket pricing"", ""restriction coding""]",Indicates whether public payment systems encourage episodic visits or longitudinal population management.,Primary-care incentive typology and matched service basket.,"Map how schedules pay for enrolment, chronic disease management, preventive care and care planning.","[""au_mbs"", ""us_cms_pfs"", ""uk_nhs_payment_scheme"", ""ca_bc_msp"", ""jp_mhlw_fee""]",design,Primary-care longitudinal incentive architecture
Facility payment and professional payment are often not directly additive across systems.,high,hospital_outpatient_carveout,"[""episode taxonomy"", ""facility/professional split coding"", ""case vignettes""]","Shows how bundling choices shape incentives for sites of care, device use and diagnostic ordering.",Bundling boundary map and cross-setting payment comparison.,Compare when services remain separately payable versus absorbed into outpatient or inpatient bundles.,"[""us_cms_opps"", ""us_cms_asc"", ""us_cms_pfs"", ""au_ihacpa_nep"", ""uk_nhs_payment_scheme"", ""nl_nza_dbc""]",design,Hospital outpatient carve-out and bundling comparison
Some terminologies are clinically essential but cannot be mirrored publicly.,low,terminology_coverage_completeness,"[""dependency mapping"", ""licence classification"", ""gap analysis""]",Makes explicit where licensing or terminology access can block otherwise public reimbursement analysis.,Analysis-by-ontology dependency matrix and licence-risk register.,"Identify which analyses require LOINC, RxNorm, ATC, ICD, SNOMED CT, HPO or other terminologies.","[""au_mbs"", ""au_pbs"", ""us_cms_clfs"", ""us_cms_asp"", ""uk_genomic_test_directory""]",prototype,Terminology coverage and ontology-dependency audit
"Listing dates, first-claim dates and source refresh dates may differ materially.",medium,coverage_to_utilisation_lag,"[""event study"", ""changepoint detection"", ""interrupted time series""]",Separates nominal access from realised access and highlights implementation bottlenecks.,Event-study panel and diffusion-lag estimates.,Measure how long it takes for newly reimbursed services or medicines to diffuse after public listing.,"[""au_mbs"", ""au_pbs"", ""au_aihw_mbs_pbs_stats"", ""us_cms_clfs"", ""us_cms_partd_puf"", ""uk_nhs_reference_costs""]",design,Coverage-to-utilisation lag after listing
"Scores reflect public accessibility, not necessarily health-system performance.",low,global_public_schedule_access_index,"[""ordinal scoring"", ""metadata audit"", ""sensitivity analysis""]","Ranks where comparative reimbursement research is easiest, most reproducible and most licence-constrained.",Open reimbursement data maturity leaderboard.,"Score each jurisdiction on machine-readability, licensing, historical versions, API access and utilisation linkage.","[""au_mbs"", ""us_cms_pfs"", ""tw_nhi_services"", ""br_sigtap"", ""za_upfs"", ""in_abpmjay_hbp"", ""oecd_health_stats""]",prototype,Global public schedule access and reproducibility index
Rebates and confidential agreements limit interpretation of net prices.,high,medicine_substitution_and_price_ladders,"[""ATC/RxNorm mapping"", ""PPP conversion"", ""price-index decomposition""]",Identifies where public policy accelerates price convergence and where published prices remain opaque.,Therapeutic-class price ladder and policy mechanism map.,"Compare how systems group medicines, reward generics/biosimilars and revise prices after competition.","[""au_pbs"", ""us_cms_asp"", ""us_cms_partd_puf"", ""nz_pharmac"", ""se_tlv"", ""fi_kela_reimbursements"", ""jp_nhi_drug_prices""]",design,"Medicine substitution, reference pricing and price ladder analysis"
