access_tier,component_access_tier,component_historical_versions,component_machine_readable,component_reliability,component_utilisation_data,domain,grade,jurisdiction,schedule,score,source_id,system
tier_2,2,2,3,3,0,medicines,B,Finland,Medicine reimbursement and price data,10,fi_kela_reimbursements,Kela
tier_2,2,2,3,1,2,devices,B,France,Liste des Produits et Prestations,10,fr_lpp,Assurance Maladie
tier_2,2,2,3,1,2,medical_services,B,Norway,Tariffs for reimbursement claims,10,no_helfo_tariffs,Helfo
tier_1,4,0,3,3,0,devices,B,United States,Device Product Classification,10,us_fda_device_classification,Food and Drug Administration
tier_2,2,2,0,3,2,hospital,B,Canada,Case Mix Groups and resource intensity weights,9,ca_ciihi_cmg,CIHI
tier_2,2,2,0,3,2,medical_services,B,Canada - Ontario,Schedule of Benefits,9,ca_on_ohip,OHIP
tier_2,2,2,0,3,2,medical_services,B,Germany,Einheitlicher Bewertungsmaßstab,9,de_ebm,GKV/KBV
tier_2,2,2,0,3,2,medical_services,B,Japan,National medical fee schedule,9,jp_mhlw_fee,MHLW
tier_2,2,2,0,3,2,medicines,B,Japan,NHI Drug Price Standard,9,jp_nhi_drug_prices,MHLW
tier_2,2,2,0,3,2,medicines,B,England,Drug Tariff,9,uk_nhs_drug_tariff,NHSBSA
tier_2,2,2,3,1,0,medicines,B,Ireland,Reimbursement lists and community drug schemes,8,ie_hse_reimbursement,HSE/PCRS
tier_2,2,2,3,1,0,price_benchmarks,B,Singapore,Hospital bills and fee benchmarks,8,sg_fee_benchmarks,Ministry of Health
tier_2,2,2,0,3,0,coverage_decisions,C,Australia,MSAC Public Summary Documents,7,au_msac,MSAC
tier_2,2,2,0,3,0,coverage_decisions,C,Australia,PBAC Public Summary Documents,7,au_pbac,PBAC
tier_2,2,2,0,1,2,medical_services,C,Canada - Alberta,Schedule of Medical Benefits,7,ca_ab_somb,AHCIP
tier_2,2,2,0,1,2,medical_services,C,Canada - British Columbia,Medical Services Commission Payment Schedule,7,ca_bc_msp,MSP
tier_2,2,2,0,1,2,medical_services,C,Switzerland,TARMED/TARDOC outpatient tariffs,7,ch_tarmed_tardoc,Compulsory health insurance
tier_2,2,2,0,1,2,medical_services,C,France,CCAM/NGAP tariffs,7,fr_ccam,Assurance Maladie
tier_2,2,2,0,3,0,coverage_decisions,C,France,HAS decisions and evaluations,7,fr_haspub,HAS
tier_2,2,2,0,1,2,hospital,C,India,Health Benefit Packages and rates,7,in_abpmjay_hbp,AB-PMJAY
tier_2,2,2,0,3,0,medicines,C,Italy,AIFA reimbursed medicines and pricing decisions,7,it_aifa_reimbursement,AIFA
tier_2,2,2,0,3,0,coverage_decisions,C,England,NICE technology appraisal and diagnostics guidance,7,uk_nice_guidance,NICE
tier_2,2,2,0,1,0,medical_services,C,Canada - Quebec,Physician remuneration agreements and tariffs,5,ca_qc_ramq,RAMQ
tier_2,2,2,0,1,0,medicines,C,Spain,BIFIMED medicine financing and price information,5,es_bifimed,Ministry of Health
tier_2,2,2,0,1,0,coverage_decisions,C,Israel,National Health Basket and technology updates,5,is_hta_catalogue,Ministry of Health
tier_3,0,2,0,1,2,medical_services,C,South Korea,Fee schedules and claims data references,5,kr_hira,HIRA/NHI
tier_3,0,2,0,1,2,medical_services,C,United States,State Fee-for-Service Schedules,5,us_medicaid_state_fees,Medicaid
tier_2,2,2,0,1,0,medical_services,C,South Africa,Uniform Patient Fee Schedule,5,za_upfs,National Department of Health
tier_3,0,2,0,1,0,medical_services,D,Mexico,Published medical service unit costs and tariffs,3,mx_imss_costs,IMSS
