description,github_issue_title,id,inputs,interface,name,outputs,priority,quality_gates,status,track_id
"Validate locally downloaded files for presence, byte size, format, HTML-error leakage, checksum and record-count expectations without committing raw payloads.",Add source-content validation gate for downloaded public files,func_source_content_validation,"[""source_files.jsonl"", ""data/raw_live/*""]",data_pipeline,source content validation,"[""source_content_validation.jsonl"", ""source_content_validation.csv"", ""summary.json""]",must,"[""no raw path leakage"", ""licence-gated rows skipped"", ""format errors visible""]",implemented,track_data_quality_evidence
"Run table-level minimum-row, unique-id, referential-integrity, generated-artifact and publication-safety checks across seed and derived artefacts.",Add data-quality checks as a release-readiness gate,func_data_quality_checks,"[""data/seed/*.jsonl"", ""data/derived/**/*.jsonl"", ""publication_manifest.json""]",data_pipeline,data quality checks,"[""data_quality_checks.jsonl"", ""data_quality_checks.csv"", ""summary.json""]",must,"[""zero blocking failures"", ""raw payload absent"", ""foreign keys resolve""]",implemented,track_data_quality_evidence
"Generate explicit rows linking research questions to registered sources, dataset candidates, mapping resources and planned outputs.",Add research-question linkage matrix to roadmap and OSF planning,func_research_linkage_matrix,"[""research_questions.jsonl"", ""source_registry.jsonl"", ""dataset_candidates.jsonl"", ""mapping_resources.jsonl"", ""output_artifact_plans.jsonl""]",data_pipeline,research linkage matrix,"[""research_dataset_linkages.jsonl"", ""research_dataset_linkages.csv""]",should,"[""no missing required datasets"", ""outputs mapped"", ""dashboard published""]",implemented,track_data_quality_evidence
"Combine protocol completeness, research linkages, source validation, data-quality blockers, mappings and outputs into research-question readiness status.",Generate evidence-readiness matrix for each research question,func_evidence_readiness,"[""protocol_status.jsonl"", ""research_dataset_linkages.jsonl"", ""data_quality_checks.jsonl"", ""source_content_validation.jsonl""]",data_pipeline,evidence readiness,"[""evidence_readiness.jsonl"", ""evidence_readiness.csv"", ""summary.json""]",must,"[""no blocked research questions"", ""readiness stage visible in dashboard""]",implemented,track_data_quality_evidence
Generate dashboard-safe table/column metadata for every candidate public artefact in the publication manifest.,Generate public artefact data dictionary for Hugging Face and OSF outputs,func_data_dictionary,"[""publication manifest candidate paths"", ""generated CSV/JSONL artefacts""]",data_pipeline,data dictionary,"[""data_dictionary.jsonl"", ""data_dictionary.csv"", ""summary.json""]",must,"[""column list generated"", ""raw/local paths excluded"", ""publication scope captured""]",implemented,track_data_packaging_standards
Compare JSONL/CSV mirrors and future source-version pairs for schema and row-count drift before release.,Add source/schema drift reporting to release readiness,func_source_drift_report,"[""paired tabular artefacts"", ""future source snapshots""]",data_pipeline,source drift report,"[""source_drift_report.jsonl"", ""source_drift_report.csv""]",must,"[""no missing drift inputs"", ""no removed columns without review""]",implemented,track_data_quality_evidence
"Correct and validate scholarly software metadata, including author names, repository URL, abstract, keywords, version and preferred citation.",Correct and schema-validate CITATION.cff,func_citation_cff_validation,"[""CITATION.cff"", ""release metadata""]",github_action,citation metadata validation,"[""validated CITATION.cff"", ""citation validation report""]",must,"[""cff schema validation"", ""author identity reviewed"", ""version matches release""]",planned,track_public_product_citation_dashboard
"Rewrite the README around the current executable product, readiness boundaries, architecture, quick start, screenshots, licensing and citation guidance.",Rewrite README for current product state and citation guidance,func_readme_current_state,"[""release readiness"", ""dashboard routes"", ""CITATION.cff""]",github_action,current-state README,"[""README.md"", ""dashboard screenshots""]",must,"[""no stale blocker claims"", ""citation section present"", ""readiness boundaries explicit""]",planned,track_public_product_citation_dashboard
Deploy the dashboard as a public static site with immutable build inputs and a documented canonical URL.,Deploy the static dashboard to GitHub Pages and mirror to Hugging Face Spaces,func_dashboard_public_deploy,"[""apps/dashboard"", ""dashboard-safe CSV artefacts""]",github_action,public dashboard deployment,"[""GitHub Pages site"", ""Hugging Face Space mirror"", ""deployment provenance""]",must,"[""public-data policy"", ""deployment smoke test"", ""build attestation""]",planned,track_public_product_citation_dashboard
"Replace the graph-first landing page with an executive summary of source coverage, validation health, evidence readiness and remaining blockers.",Build an executive dashboard overview with readiness and blocker KPIs,func_dashboard_executive_overview,"[""release gates"", ""source validation"", ""evidence readiness"", ""final handoff""]",dashboard,executive readiness overview,"[""dashboard overview route"", ""readiness KPI cards""]",must,"[""no readiness conflation"", ""mobile responsive"", ""empty states tested""]",planned,track_public_product_citation_dashboard
"Add search, filters, downloadable views and stable deep links across source, mapping, analysis and readiness tables.",Add dashboard search filters downloads and stable deep links,func_dashboard_exploration_controls,"[""dashboard-safe CSV artefacts""]",dashboard,dashboard exploration controls,"[""searchable table views"", ""filtered CSV downloads"", ""shareable URLs""]",should,"[""keyboard operable"", ""URL state tested"", ""safe download allowlist""]",planned,track_public_product_citation_dashboard
"Expose source snapshots, checksums, contracts, mapping confidence and licence notes as linked provenance views.",Add dashboard provenance and mapping-evidence drill-down,func_dashboard_provenance_drilldown,"[""source snapshots"", ""source contracts"", ""mapping evidence"", ""licence metadata""]",dashboard,provenance drill-down,"[""source provenance route"", ""mapping evidence detail route""]",must,"[""no local path leakage"", ""licence caveats visible"", ""evidence lineage linked""]",planned,track_public_product_citation_dashboard
"Enforce WCAG 2.2 AA, Lighthouse budgets, browser end-to-end checks and deterministic visual regression baselines.",Add dashboard accessibility performance and visual regression gates,func_dashboard_accessibility_quality,"[""built dashboard""]",github_action,dashboard experience quality gates,"[""accessibility report"", ""Lighthouse report"", ""visual snapshots""]",must,"[""WCAG 2.2 AA"", ""performance budget"", ""cross-browser smoke"", ""reviewed visual diffs""]",planned,track_public_product_citation_dashboard
"Publish a deterministic machine-readable status document and badges derived from release, evidence, source and publication gates.",Publish machine-readable project status and readiness badges,func_public_status_manifest,"[""release readiness"", ""evidence readiness"", ""source validation"", ""publication gates""]",data_pipeline,public status manifest,"[""status.json"", ""README badges"", ""dashboard status banner""]",should,"[""generated only"", ""readiness dimensions separate"", ""stale status detected""]",planned,track_public_product_citation_dashboard
"Validate public documentation claims against generated runtime, source, security and readiness evidence to prevent status drift.",Add documentation freshness and claim-validation gate,func_docs_freshness_gate,"[""README.md"", ""generated readiness summaries"", ""runtime targets""]",github_action,documentation freshness gate,"[""documentation drift report""]",must,"[""stale blocker claims fail"", ""runtime claims verified"", ""public URLs checked""]",implemented,track_ci_cd_supply_chain
Create a signed and attested release with corrected citation metadata and archive it through Zenodo once publication gates pass.,Create signed release and Zenodo DOI after publication approval,func_zenodo_doi_release,"[""validated CITATION.cff"", ""release artefacts"", ""SBOMs"", ""attestations""]",github_action,versioned DOI release,"[""GitHub release"", ""Zenodo DOI"", ""archival citation""]",should,"[""repository release ready"", ""human publication approval"", ""attestation verification""]",planned,track_data_packaging_standards
Archive and validate historical MBS releases and a reviewed PBS extract through derived-only source bundles.,Expand reviewed coverage with historical MBS and PBS bundles,func_historical_mbs_pbs_bundles,"[""MBS historical downloads"", ""PBS public extract""]",data_pipeline,historical source coverage expansion,"[""reviewed historical MBS bundles"", ""reviewed PBS bundle"", ""source drift series""]",must,"[""licence review"", ""raw files ignored"", ""source contracts pass"", ""temporal provenance""]",planned,track_live_source_ingestion
