deliverables,depends_on,github_project_status,goal,id,notes,phase,priority,title,workstream
"[""Zenodo receipt"", ""Hugging Face dataset and Space receipt"", ""final handoff bundle""]","[""track_release_record_archive_maturity"", ""track_publication_hf_spaces""]",ready_for_issue_sync,"Execute approved Hugging Face and Zenodo release actions only from frozen checksum-bound artefacts, record remote state, and permanently exclude papers and preprints.",track_external_publication_archive_execution,OSF is deprecated; Hugging Face and Zenodo remote state must be recorded with redacted receipts.,release,must,External publication and archive execution,publication
"[""current-head dashboard evidence"", ""rights-cleared mapping counterpart frame"", ""blinded holdout evaluation"", ""external publication gate reconciliation"", ""final handoff update""]","[""track_evidence_adjudication_review"", ""track_release_record_archive_maturity"", ""track_external_publication_archive_execution""]",ready_for_issue_sync,"Reconcile current dashboard evidence, evidence readiness and external publication state in dependency order, then close only gates supported by current checksum-bound evidence.",track_release_gate_reconciliation_closeout,"Dashboard approval, mapping counterpart acquisition and holdout evaluation remain upstream gates for Hugging Face publication; Zenodo deposition 21759294 is published and must only be verified.",release,must,Release gate reconciliation and external dependency closeout,governance
"[""risk-tiered approval policy"", ""automatic project-output classification"", ""standing dashboard approval validator"", ""approval regression tests""]","[""track_ci_cd_supply_chain"", ""track_public_product_citation_dashboard""]",ready_for_issue_sync,Reserve accountable approval for high-risk changes while automatically validating deterministic project outputs and unchanged bounded dashboard scope.,track_approval_friction_reduction_20260820,"Material source-rights, research-claim, interface-scope and external-publication changes remain fail-closed.",hardening,must,Risk-tiered approval friction reduction,governance
"[""destination-neutral protocol readiness"", ""retired OSF workflows"", ""historical registration evidence"", ""regenerated release and handoff outputs""]","[""track_research_protocols_osf"", ""track_release_record_archive_maturity""]",ready_for_issue_sync,Retire OSF as an active registration and publication destination while preserving immutable historical provenance.,track_osf_deprecation_20260820,"No active release, dashboard, Hugging Face, Zenodo or handoff gate depends on OSF.",hardening,must,OSF destination deprecation,governance
"[""MCP 2 public API adapter"", ""strict typing parity"", ""MCP behavior tests"", ""regenerated dependency evidence""]","[""track_runtime_mojo_python314"", ""track_ci_cd_supply_chain""]",blocked_upstream_compatibility,"Migrate the optional MCP server to MCP Python SDK 2.x without weakening typing, behavior contracts, security, or deterministic evidence gates.",track_mcp2_typed_migration_20260824,MCP remains on 1.29.0 until issue #731 replaces removed FastMCP APIs and passes strict typing and runtime gates.,hardening,should,MCP 2 typed API migration,runtime
"[""B0 source index"", ""B1 acquisition ledger"", ""B2 immutable evidence references"", ""medallion contract tests""]","[""track_live_source_ingestion"", ""track_data_quality_evidence""]",completed,Align source evidence with the shared B0/B1/B2 medallion contract without treating storage engines or destinations as source truth.,medallion_bronze_evidence_20260825,Raw bytes remain ignored and local; restricted evidence is represented by checksum-bound references.,hardening,must,Medallion Bronze evidence alignment,data
"[""Silver artifact inventory"", ""Gold artifact inventory"", ""promotion decisions"", ""layer-skipping tests""]","[""medallion_bronze_evidence_20260825"", ""track_mapping_workbench"", ""track_data_quality_evidence""]",completed,Align source-faithful and adjudicated evidence with explicit checksum-bound Silver and Gold promotions.,medallion_silver_gold_promotion_20260825,"The sealed mapping holdout is projected, not re-evaluated; licence and review decisions remain authoritative inputs.",hardening,must,Medallion Silver and Gold promotion,research
"[""Platinum product inventory"", ""product promotion gates"", ""dashboard-safe projections"", ""release-readiness integration""]","[""medallion_silver_gold_promotion_20260825"", ""track_public_product_citation_dashboard"", ""track_publication_hf_spaces""]",completed,"Classify dashboard, API, package and release surfaces as Platinum projections with independent evidence, rights and release gates.",medallion_platinum_projection_20260825,"No external mutation, DOI change, paper or preprint publication is authorized by this track.",hardening,must,Medallion Platinum product projection,product
"[""canonical readiness derivation"", ""two-phase medallion materialisation"", ""contradictory-state regression test"", ""deterministic generated evidence""]","[""medallion_platinum_projection_20260825"", ""track_release_gate_reconciliation_closeout""]",completed,Derive medallion and release evidence readiness from one complete fail-closed gate model.,canonical_evidence_readiness_20260826,This track changes readiness derivation only and does not alter accountable gate decisions or authorize publication.,hardening,must,Canonical evidence-release readiness semantics,governance
"[""restored historical raw cache"", ""B1 acquisition ledger expansion"", ""deduplicated B2 evidence references"", ""bounded downloader tests""]","[""medallion_bronze_evidence_20260825"", ""track_source_provenance_licence_release""]",completed,Expand B1 and B2 from real checksum-bound historical and reviewed-source receipts without conflating B0 catalogue entries with acquisitions.,bronze_acquisition_coverage_20260826,"Raw source payloads remain ignored and local; public-reuse review is a rights state, not publication approval.",implementation,must,Bronze acquisition coverage expansion,data
"[""checksum-bound product release contract"", ""source-registry Silver artifact"", ""source-transparency Gold artifact"", ""bounded Platinum promotion evidence""]","[""medallion_platinum_projection_20260825"", ""canonical_evidence_readiness_20260826"", ""track_public_product_citation_dashboard""]",completed,Promote one low-risk metadata-only dashboard through explicit checksum-bound Gold-to-Platinum gates without changing global evidence readiness.,bounded_platinum_source_transparency_20260826,"Repository product promotion only; no DOI, archive, dataset, paper or preprint publication is authorized.",implementation,must,Bounded source-transparency Platinum promotion,product
"[""canonical external-control report"", ""TypeScript 7 and Astro compatibility canary"", ""GitHub account-security capability monitor"", ""release-readiness isolation regression tests""]","[""track_ci_cd_supply_chain""]",completed,Monitor external compatibility and account-security controls without misclassifying unavailable provider capabilities as repository release blockers.,external_governance_monitoring_20260826,External controls remain fail-closed and visible but are not required repository-release gates; no account-level mutation is performed.,hardening,must,External compatibility and governance monitoring,governance
"[""evidence-backed backlog status reconciliation"", ""synchronized GitHub issue states"", ""parser-review closure evidence"", ""explicit residual evidence blockers""]","[""track_live_source_ingestion"", ""track_data_quality_evidence""]",completed,"Reconcile stale parser, source-review and analysis backlog states against current evidence and live GitHub issues.",backlog_state_reconciliation_20260826,Bounded parser validation is distinct from current API parity; approved claim packages are distinct from completed full reports and publications.,hardening,must,Backlog state reconciliation,governance
