body_path,epic_id,epic_title,id,item_type,labels,milestone,priority,project_view,recommended_action,status,title,track_id
.github/generated-issues/020-add-sourcesnapshotrecord-and-local-cache-provenance-schema.md,LIVE-001,Reviewed live-source validation,project_issue_020_add_sourcesnapshotrecord_and_local_cache_provenance_schema,issue,"[""type:data-source"", ""risk:licence"", ""phase:1-slice"", ""status:implemented""]",M1 evidence-grade source slice,must,Sources & ingestion,Open this generated draft as a GitHub issue and place it on the matching Project view once repository credentials are available.,done,Add SourceSnapshotRecord and local cache provenance schema,
.github/generated-issues/021-validate-mbs-parser-against-one-manually-downloaded-xml-release.md,LIVE-001,Reviewed live-source validation,project_issue_021_validate_mbs_parser_against_one_manually_downloaded_xml_release,issue,"[""type:parser"", ""phase:1-slice"", ""needs-clinical-review"", ""status:blocked""]",M1 evidence-grade source slice,unknown,Sources & ingestion,Open this generated draft as a GitHub issue and place it on the matching Project view once repository credentials are available.,blocked,Validate MBS parser against one manually downloaded XML release,
.github/generated-issues/022-add-derived-only-mbs-txt-pair-bundle-workflow-with-path-redacted-snapshots.md,LIVE-001,Reviewed live-source validation,project_issue_022_add_derived_only_mbs_txt_pair_bundle_workflow_with_path_redacted_snapshots,issue,"[""type:parser"", ""risk:licence"", ""phase:1-slice"", ""status:implemented""]",M1 evidence-grade source slice,must,Sources & ingestion,Open this generated draft as a GitHub issue and place it on the matching Project view once repository credentials are available.,done,Add derived-only MBS TXT pair bundle workflow with path-redacted snapshots,
.github/generated-issues/023-review-first-real-july-2026-mbs-txt-pair-bundle-outputs.md,LIVE-001,Reviewed live-source validation,project_issue_023_review_first_real_july_2026_mbs_txt_pair_bundle_outputs,issue,"[""type:data-source"", ""needs-clinical-review"", ""phase:1-slice"", ""status:blocked""]",M1 evidence-grade source slice,unknown,Sources & ingestion,Open this generated draft as a GitHub issue and place it on the matching Project view once repository credentials are available.,blocked,Review first real July 2026 MBS TXT pair bundle outputs,
.github/generated-issues/024-validate-cms-clfs-parser-against-one-public-file-without-cpt-descriptor-redistribution.md,LIVE-001,Reviewed live-source validation,project_issue_024_validate_cms_clfs_parser_against_one_public_file_without_cpt_descriptor_redistribution,issue,"[""type:parser"", ""risk:licence"", ""phase:1-slice"", ""status:blocked""]",M1 evidence-grade source slice,must,Sources & ingestion,Open this generated draft as a GitHub issue and place it on the matching Project view once repository credentials are available.,blocked,Validate CMS CLFS parser against one public file without CPT descriptor redistribution,
.github/generated-issues/025-validate-pbs-api-csv-parser-against-a-reviewed-monthly-public-extract.md,LIVE-001,Reviewed live-source validation,project_issue_025_validate_pbs_api_csv_parser_against_a_reviewed_monthly_public_extract,issue,"[""type:parser"", ""phase:1-slice"", ""type:medicines"", ""status:blocked""]",M1 evidence-grade source slice,unknown,Sources & ingestion,Open this generated draft as a GitHub issue and place it on the matching Project view once repository credentials are available.,blocked,Validate PBS API CSV parser against a reviewed monthly public extract,
.github/generated-issues/026-validate-cms-asp-parser-against-july-2026-payment-limit-files.md,LIVE-001,Reviewed live-source validation,project_issue_026_validate_cms_asp_parser_against_july_2026_payment_limit_files,issue,"[""type:parser"", ""phase:1-slice"", ""type:medicines"", ""status:blocked""]",M1 evidence-grade source slice,unknown,Sources & ingestion,Open this generated draft as a GitHub issue and place it on the matching Project view once repository credentials are available.,blocked,Validate CMS ASP parser against July 2026 payment-limit files,
.github/generated-issues/027-validate-cms-pfs-parser-against-rvu26c-with-cpt-descriptor-safeguards.md,LIVE-001,Reviewed live-source validation,project_issue_027_validate_cms_pfs_parser_against_rvu26c_with_cpt_descriptor_safeguards,issue,"[""type:parser"", ""risk:licence"", ""phase:1-slice"", ""status:blocked""]",M1 evidence-grade source slice,must,Sources & ingestion,Open this generated draft as a GitHub issue and place it on the matching Project view once repository credentials are available.,blocked,Validate CMS PFS parser against RVU26C with CPT descriptor safeguards,
.github/generated-issues/028-add-public-data-policy-check-to-ci-for-raw-cache-safeguards.md,LIVE-001,Reviewed live-source validation,project_issue_028_add_public_data_policy_check_to_ci_for_raw_cache_safeguards,issue,"[""type:security"", ""risk:licence"", ""phase:1-slice"", ""status:implemented""]",M1 evidence-grade source slice,must,CI/CD & security,Open this generated draft as a GitHub issue and place it on the matching Project view once repository credentials are available.,done,Add public data policy check to CI for raw cache safeguards,
.github/generated-issues/029-add-source-specific-content-validators-for-downloaded-public-files.md,LIVE-001,Reviewed live-source validation,project_issue_029_add_source_specific_content_validators_for_downloaded_public_files,issue,"[""type:data-source"", ""type:parser"", ""phase:1-slice"", ""status:implemented""]",M1 evidence-grade source slice,unknown,Sources & ingestion,Open this generated draft as a GitHub issue and place it on the matching Project view once repository credentials are available.,done,Add source-specific content validators for downloaded public files,
.github/generated-issues/030-add-checksum-pinning-after-first-reviewed-source-downloads.md,LIVE-001,Reviewed live-source validation,project_issue_030_add_checksum_pinning_after_first_reviewed_source_downloads,issue,"[""type:data-source"", ""type:provenance"", ""phase:1-slice"", ""status:implemented""]",M1 evidence-grade source slice,unknown,Sources & ingestion,Open this generated draft as a GitHub issue and place it on the matching Project view once repository credentials are available.,done,Add checksum pinning after first reviewed source downloads,
.github/generated-issues/031-harden-cli-command-surface-and-output-contracts.md,IFACE-001,Read-only interfaces,project_issue_031_harden_cli_command_surface_and_output_contracts,issue,"[""type:cli"", ""phase:1-slice"", ""status:implemented""]",M1 evidence-grade source slice,unknown,Project backlog,Open this generated draft as a GitHub issue and place it on the matching Project view once repository credentials are available.,done,Harden CLI command surface and output contracts,
.github/generated-issues/032-add-optional-read-only-fastapi-smoke-test.md,IFACE-001,Read-only interfaces,project_issue_032_add_optional_read_only_fastapi_smoke_test,issue,"[""type:api"", ""good-first-issue"", ""status:implemented""]",M0 project setup,could,Project backlog,Open this generated draft as a GitHub issue and place it on the matching Project view once repository credentials are available.,done,Add optional read-only FastAPI smoke test,
.github/generated-issues/033-draft-read-only-mcp-server-implementation-plan.md,IFACE-001,Read-only interfaces,project_issue_033_draft_read_only_mcp_server_implementation_plan,issue,"[""type:mcp"", ""phase:2-expansion"", ""status:implemented""]",M4 expansion roadmap,unknown,Project backlog,Open this generated draft as a GitHub issue and place it on the matching Project view once repository credentials are available.,done,Draft read-only MCP server implementation plan,
.github/generated-issues/034-add-readiness-table-views-to-astro-dashboard.md,DASH-002,Generated artefact dashboard tables,project_issue_034_add_readiness_table_views_to_astro_dashboard,issue,"[""type:dashboard"", ""phase:1-slice"", ""status:implemented""]",M1 evidence-grade source slice,unknown,Dashboard & publication,Open this generated draft as a GitHub issue and place it on the matching Project view once repository credentials are available.,done,Add readiness table views to Astro dashboard,
.github/generated-issues/035-add-crosswalk-review-queue-view-to-astro-dashboard.md,DASH-002,Generated artefact dashboard tables,project_issue_035_add_crosswalk_review_queue_view_to_astro_dashboard,issue,"[""type:dashboard"", ""type:mapping"", ""status:implemented""]",M0 project setup,unknown,Dashboard & publication,Open this generated draft as a GitHub issue and place it on the matching Project view once repository credentials are available.,done,Add crosswalk review queue view to Astro dashboard,
.github/generated-issues/036-add-reviewed-source-bundle-workflow-to-live-source-validation-docs.md,PUB-001,Publication and dataset release readiness,project_issue_036_add_reviewed_source_bundle_workflow_to_live_source_validation_docs,issue,"[""type:data-source"", ""risk:licence"", ""phase:1-slice"", ""status:implemented""]",M1 evidence-grade source slice,must,Sources & ingestion,Open this generated draft as a GitHub issue and place it on the matching Project view once repository credentials are available.,done,Add reviewed-source bundle workflow to live-source validation docs,
.github/generated-issues/037-add-seed-jsonl-csv-synchronisation-gate-to-ci.md,PUB-001,Publication and dataset release readiness,project_issue_037_add_seed_jsonl_csv_synchronisation_gate_to_ci,issue,"[""type:automation"", ""phase:1-slice"", ""status:implemented""]",M1 evidence-grade source slice,unknown,CI/CD & security,Open this generated draft as a GitHub issue and place it on the matching Project view once repository credentials are available.,done,Add seed JSONL CSV synchronisation gate to CI,
.github/generated-issues/038-add-candidate-publication-manifest-for-hugging-face-dataset-release.md,PUB-001,Publication and dataset release readiness,project_issue_038_add_candidate_publication_manifest_for_hugging_face_dataset_release,issue,"[""type:publication"", ""risk:licence"", ""phase:1-slice"", ""status:implemented""]",M1 evidence-grade source slice,must,Dashboard & publication,Open this generated draft as a GitHub issue and place it on the matching Project view once repository credentials are available.,done,Add candidate publication manifest for Hugging Face dataset release,
.github/generated-issues/039-add-dashboard-table-for-policy-signal-matrix-and-analysis-recipes.md,PUB-001,Publication and dataset release readiness,project_issue_039_add_dashboard_table_for_policy_signal_matrix_and_analysis_recipes,issue,"[""type:dashboard"", ""type:analysis"", ""status:implemented""]",M0 project setup,unknown,Dashboard & publication,Open this generated draft as a GitHub issue and place it on the matching Project view once repository credentials are available.,done,Add dashboard table for policy signal matrix and analysis recipes,
.github/generated-issues/040-add-synthetic-ontology-concept-seed-parser-and-mapping-templates.md,ONT-001,Local-only terminology seed workflow,project_issue_040_add_synthetic_ontology_concept_seed_parser_and_mapping_templates,issue,"[""type:ontology"", ""risk:licence"", ""phase:1-slice"", ""status:implemented""]",M1 evidence-grade source slice,must,Mappings & ontologies,Open this generated draft as a GitHub issue and place it on the matching Project view once repository credentials are available.,done,Add synthetic ontology concept seed parser and mapping templates,
.github/generated-issues/041-define-local-adapter-contracts-for-rxnav-in-a-box-style-services.md,ONT-001,Local-only terminology seed workflow,project_issue_041_define_local_adapter_contracts_for_rxnav_in_a_box_style_services,issue,"[""type:ontology"", ""type:mcp"", ""phase:2-expansion"", ""status:implemented""]",M4 expansion roadmap,unknown,Mappings & ontologies,Open this generated draft as a GitHub issue and place it on the matching Project view once repository credentials are available.,done,Define local adapter contracts for RxNav-in-a-Box style services,
.github/generated-issues/042-add-architecture-boundary-import-graph-checks-to-ci.md,REL-001,Release readiness and architecture gates,project_issue_042_add_architecture_boundary_import_graph_checks_to_ci,issue,"[""type:architecture"", ""type:automation"", ""phase:hardening"", ""status:implemented""]",M2 release hardening,unknown,Project backlog,Open this generated draft as a GitHub issue and place it on the matching Project view once repository credentials are available.,done,Add architecture-boundary import graph checks to CI,
.github/generated-issues/043-add-release-readiness-matrix-with-required-blocker-counts.md,REL-001,Release readiness and architecture gates,project_issue_043_add_release_readiness_matrix_with_required_blocker_counts,issue,"[""type:release"", ""type:automation"", ""phase:hardening"", ""status:implemented""]",M2 release hardening,unknown,Quality & release gates,Open this generated draft as a GitHub issue and place it on the matching Project view once repository credentials are available.,done,Add release-readiness matrix with required-blocker counts,
.github/generated-issues/044-resolve-github-action-sha-pinning-plan-and-make-zizmor-blocking.md,REL-001,Release readiness and architecture gates,project_issue_044_resolve_github_action_sha_pinning_plan_and_make_zizmor_blocking,issue,"[""type:security"", ""type:supply-chain"", ""phase:hardening"", ""status:implemented""]",M2 release hardening,must,CI/CD & security,Open this generated draft as a GitHub issue and place it on the matching Project view once repository credentials are available.,done,Resolve GitHub Action SHA pinning plan and make zizmor blocking,
.github/generated-issues/045-run-pip-audit-strict-in-network-enabled-ci-before-public-release.md,REL-001,Release readiness and architecture gates,project_issue_045_run_pip_audit_strict_in_network_enabled_ci_before_public_release,issue,"[""type:security"", ""phase:hardening"", ""status:implemented""]",M2 release hardening,must,CI/CD & security,Open this generated draft as a GitHub issue and place it on the matching Project view once repository credentials are available.,done,Run pip-audit strict in network-enabled CI before public release,
.github/generated-issues/046-maintain-structured-issue-forms-for-source-analysis-and-quality-work.md,REL-001,Release readiness and architecture gates,project_issue_046_maintain_structured_issue_forms_for_source_analysis_and_quality_work,issue,"[""type:repo-automation"", ""phase:hardening"", ""status:implemented""]",M2 release hardening,unknown,CI/CD & security,Open this generated draft as a GitHub issue and place it on the matching Project view once repository credentials are available.,done,"Maintain structured issue forms for source, analysis and quality work",
.github/generated-issues/047-gate-osf-publication-on-protocol-status-readiness-table.md,OSF-002,Protocol completeness and OSF release gates,project_issue_047_gate_osf_publication_on_protocol_status_readiness_table,issue,"[""type:research"", ""type:osf"", ""phase:hardening"", ""status:implemented""]",M2 release hardening,unknown,Research & OSF,Open this generated draft as a GitHub issue and place it on the matching Project view once repository credentials are available.,done,Gate OSF publication on protocol-status readiness table,
.github/generated-issues/048-expand-protocol-templates-with-source-specific-sensitivity-analyses.md,OSF-002,Protocol completeness and OSF release gates,project_issue_048_expand_protocol_templates_with_source_specific_sensitivity_analyses,issue,"[""type:research"", ""type:methods"", ""phase:analysis"", ""status:implemented""]",M3 policy demonstrators,unknown,Research & OSF,Open this generated draft as a GitHub issue and place it on the matching Project view once repository credentials are available.,done,Expand protocol templates with source-specific sensitivity analyses,
.github/generated-issues/049-add-reviewer-checklist-for-each-protocol-before-preregistration.md,OSF-002,Protocol completeness and OSF release gates,project_issue_049_add_reviewer_checklist_for_each_protocol_before_preregistration,issue,"[""type:review"", ""type:osf"", ""phase:analysis"", ""status:implemented""]",M3 policy demonstrators,unknown,Project backlog,Open this generated draft as a GitHub issue and place it on the matching Project view once repository credentials are available.,done,Add reviewer checklist for each protocol before preregistration,
.github/generated-issues/050-add-source-content-validation-gate-for-downloaded-public-files.md,DQ-001,Data quality and evidence readiness gates,project_issue_050_add_source_content_validation_gate_for_downloaded_public_files,issue,"[""type:data-quality"", ""type:data-source"", ""phase:hardening"", ""status:implemented""]",M2 release hardening,unknown,Quality & release gates,Open this generated draft as a GitHub issue and place it on the matching Project view once repository credentials are available.,done,Add source-content validation gate for downloaded public files,
.github/generated-issues/051-add-data-quality-checks-as-a-release-readiness-gate.md,DQ-001,Data quality and evidence readiness gates,project_issue_051_add_data_quality_checks_as_a_release_readiness_gate,issue,"[""type:data-quality"", ""type:release"", ""phase:hardening"", ""status:implemented""]",M2 release hardening,unknown,Quality & release gates,Open this generated draft as a GitHub issue and place it on the matching Project view once repository credentials are available.,done,Add data-quality checks as a release-readiness gate,
.github/generated-issues/052-add-research-question-linkage-matrix-to-roadmap-and-osf-planning.md,DQ-001,Data quality and evidence readiness gates,project_issue_052_add_research_question_linkage_matrix_to_roadmap_and_osf_planning,issue,"[""type:research"", ""type:roadmap"", ""phase:hardening"", ""status:implemented""]",M2 release hardening,unknown,Research & OSF,Open this generated draft as a GitHub issue and place it on the matching Project view once repository credentials are available.,done,Add research-question linkage matrix to roadmap and OSF planning,
.github/generated-issues/053-add-dashboard-views-for-source-validation-and-data-quality-checks.md,DQ-001,Data quality and evidence readiness gates,project_issue_053_add_dashboard_views_for_source_validation_and_data_quality_checks,issue,"[""type:dashboard"", ""type:data-quality"", ""phase:hardening"", ""status:implemented""]",M2 release hardening,unknown,Dashboard & publication,Open this generated draft as a GitHub issue and place it on the matching Project view once repository credentials are available.,done,Add dashboard views for source validation and data-quality checks,
.github/generated-issues/054-add-source-specific-record-count-and-schema-validators-after-first-real-downloads.md,DQ-001,Data quality and evidence readiness gates,project_issue_054_add_source_specific_record_count_and_schema_validators_after_first_real_downloads,issue,"[""type:parser"", ""type:data-quality"", ""phase:implementation"", ""status:implemented""]",M3 policy demonstrators,unknown,Sources & ingestion,Open this generated draft as a GitHub issue and place it on the matching Project view once repository credentials are available.,done,Add source-specific record-count and schema validators after first real downloads,
.github/generated-issues/055-generate-evidence-readiness-matrix-for-each-protocolled-research-question.md,EVID-017,"Evidence readiness, source drift and data dictionary gates",project_issue_055_generate_evidence_readiness_matrix_for_each_protocolled_research_question,issue,"[""type:data-quality"", ""phase:release-gate"", ""status:implemented""]",M2 release hardening,unknown,Quality & release gates,Open this generated draft as a GitHub issue and place it on the matching Project view once repository credentials are available.,done,Generate evidence-readiness matrix for each protocolled research question,
.github/generated-issues/056-add-source-schema-drift-reporting-to-release-readiness.md,EVID-017,"Evidence readiness, source drift and data dictionary gates",project_issue_056_add_source_schema_drift_reporting_to_release_readiness,issue,"[""type:data-quality"", ""phase:release-gate"", ""status:implemented""]",M2 release hardening,unknown,Quality & release gates,Open this generated draft as a GitHub issue and place it on the matching Project view once repository credentials are available.,done,Add source/schema drift reporting to release readiness,
.github/generated-issues/057-generate-public-artefact-data-dictionary-for-hugging-face-and-osf-outputs.md,EVID-017,"Evidence readiness, source drift and data dictionary gates",project_issue_057_generate_public_artefact_data_dictionary_for_hugging_face_and_osf_outputs,issue,"[""type:publication"", ""phase:release-gate"", ""status:implemented""]",M2 release hardening,unknown,Dashboard & publication,Open this generated draft as a GitHub issue and place it on the matching Project view once repository credentials are available.,done,Generate public artefact data dictionary for Hugging Face and OSF outputs,
