allowed,import_kind,line,reason,source_layer,source_module,target_layer,target_module
True,from,18,Layer dependency respects inward/downward architecture.,orchestration,reimburse_atlas.adapters.mbs_xml,foundation,reimburse_atlas.parsers.normalise
True,from,3,Layer dependency respects inward/downward architecture.,analysis,reimburse_atlas.analysis,analysis,reimburse_atlas.analysis.crosswalk
True,from,4,Layer dependency respects inward/downward architecture.,analysis,reimburse_atlas.analysis,analysis,reimburse_atlas.analysis.mapping_evidence
True,from,8,Layer dependency respects inward/downward architecture.,analysis,reimburse_atlas.analysis,analysis,reimburse_atlas.analysis.policy_matrix
True,from,9,Layer dependency respects inward/downward architecture.,analysis,reimburse_atlas.analysis,analysis,reimburse_atlas.analysis.policy_signals
True,from,10,Layer dependency respects inward/downward architecture.,analysis,reimburse_atlas.analysis,analysis,reimburse_atlas.analysis.readiness
True,from,7,Layer dependency respects inward/downward architecture.,analysis,reimburse_atlas.analysis.crosswalk,foundation,reimburse_atlas.contracts
True,from,12,Layer dependency respects inward/downward architecture.,analysis,reimburse_atlas.analysis.mapping_evidence,foundation,reimburse_atlas.contracts
True,from,13,Layer dependency respects inward/downward architecture.,analysis,reimburse_atlas.analysis.mapping_evidence,analysis,reimburse_atlas.crosswalk
True,from,14,Layer dependency respects inward/downward architecture.,analysis,reimburse_atlas.analysis.mapping_evidence,foundation,reimburse_atlas.models
True,from,7,Layer dependency respects inward/downward architecture.,analysis,reimburse_atlas.analysis.policy_matrix,foundation,reimburse_atlas.contracts
True,from,8,Layer dependency respects inward/downward architecture.,analysis,reimburse_atlas.analysis.policy_signals,foundation,reimburse_atlas.contracts
True,from,7,Layer dependency respects inward/downward architecture.,analysis,reimburse_atlas.analysis.readiness,foundation,reimburse_atlas.models
True,from,8,Layer dependency respects inward/downward architecture.,analysis,reimburse_atlas.analysis.readiness,analysis,reimburse_atlas.scoring
True,from,12,Layer dependency respects inward/downward architecture.,interface,reimburse_atlas.api,analysis,reimburse_atlas.analysis
True,from,13,Layer dependency respects inward/downward architecture.,interface,reimburse_atlas.api,orchestration,reimburse_atlas.ingest
True,from,14,Layer dependency respects inward/downward architecture.,interface,reimburse_atlas.api,foundation,reimburse_atlas.registry
True,from,18,Layer dependency respects inward/downward architecture.,orchestration,reimburse_atlas.architecture,foundation,reimburse_atlas.io
True,from,19,Layer dependency respects inward/downward architecture.,orchestration,reimburse_atlas.architecture,foundation,reimburse_atlas.registry
True,from,14,Layer dependency respects inward/downward architecture.,interface,reimburse_atlas.cli,orchestration,reimburse_atlas.acquisition_pack
True,from,19,Layer dependency respects inward/downward architecture.,interface,reimburse_atlas.cli,analysis,reimburse_atlas.analysis
True,from,20,Layer dependency respects inward/downward architecture.,interface,reimburse_atlas.cli,orchestration,reimburse_atlas.automation
True,from,26,Layer dependency respects inward/downward architecture.,interface,reimburse_atlas.cli,analysis,reimburse_atlas.graph
True,from,27,Layer dependency respects inward/downward architecture.,interface,reimburse_atlas.cli,orchestration,reimburse_atlas.ingest
True,from,30,Layer dependency respects inward/downward architecture.,interface,reimburse_atlas.cli,orchestration,reimburse_atlas.ingest
True,from,33,Layer dependency respects inward/downward architecture.,interface,reimburse_atlas.cli,orchestration,reimburse_atlas.ingestion
True,from,38,Layer dependency respects inward/downward architecture.,interface,reimburse_atlas.cli,orchestration,reimburse_atlas.ingestion
True,from,41,Layer dependency respects inward/downward architecture.,interface,reimburse_atlas.cli,foundation,reimburse_atlas.io
True,from,42,Layer dependency respects inward/downward architecture.,interface,reimburse_atlas.cli,foundation,reimburse_atlas.licensing
True,from,43,Layer dependency respects inward/downward architecture.,interface,reimburse_atlas.cli,orchestration,reimburse_atlas.local_quality
True,from,48,Layer dependency respects inward/downward architecture.,interface,reimburse_atlas.cli,parsing,reimburse_atlas.parsers
True,from,57,Layer dependency respects inward/downward architecture.,interface,reimburse_atlas.cli,analysis,reimburse_atlas.policy_metrics
True,from,58,Layer dependency respects inward/downward architecture.,interface,reimburse_atlas.cli,orchestration,reimburse_atlas.publication
True,from,59,Layer dependency respects inward/downward architecture.,interface,reimburse_atlas.cli,foundation,reimburse_atlas.quality
True,from,65,Layer dependency respects inward/downward architecture.,interface,reimburse_atlas.cli,foundation,reimburse_atlas.registry
True,from,85,Layer dependency respects inward/downward architecture.,interface,reimburse_atlas.cli,analysis,reimburse_atlas.review_queue
True,from,86,Layer dependency respects inward/downward architecture.,interface,reimburse_atlas.cli,orchestration,reimburse_atlas.sbom
True,from,87,Layer dependency respects inward/downward architecture.,interface,reimburse_atlas.cli,analysis,reimburse_atlas.scoring
True,from,88,Layer dependency respects inward/downward architecture.,interface,reimburse_atlas.cli,foundation,reimburse_atlas.validation
True,from,89,Layer dependency respects inward/downward architecture.,interface,reimburse_atlas.cli,analysis,reimburse_atlas.vector_index
True,from,147,Layer dependency respects inward/downward architecture.,interface,reimburse_atlas.cli,orchestration,reimburse_atlas.source_downloads
True,from,370,Layer dependency respects inward/downward architecture.,interface,reimburse_atlas.cli,orchestration,reimburse_atlas.datalake
True,from,384,Layer dependency respects inward/downward architecture.,interface,reimburse_atlas.cli,parsing,reimburse_atlas.snapshots
True,from,414,Layer dependency respects inward/downward architecture.,interface,reimburse_atlas.cli,parsing,reimburse_atlas.local_sources
True,from,415,Layer dependency respects inward/downward architecture.,interface,reimburse_atlas.cli,parsing,reimburse_atlas.snapshots
True,from,449,Layer dependency respects inward/downward architecture.,interface,reimburse_atlas.cli,parsing,reimburse_atlas.local_sources
True,from,507,Layer dependency respects inward/downward architecture.,interface,reimburse_atlas.cli,parsing,reimburse_atlas.local_sources
True,from,553,Layer dependency respects inward/downward architecture.,interface,reimburse_atlas.cli,analysis,reimburse_atlas.analysis
True,from,911,Layer dependency respects inward/downward architecture.,interface,reimburse_atlas.cli,orchestration,reimburse_atlas.architecture
True,from,937,Layer dependency respects inward/downward architecture.,interface,reimburse_atlas.cli,orchestration,reimburse_atlas.release_readiness
True,from,968,Layer dependency respects inward/downward architecture.,interface,reimburse_atlas.cli,parsing,reimburse_atlas.local_sources
True,from,987,Layer dependency respects inward/downward architecture.,interface,reimburse_atlas.cli,foundation,reimburse_atlas.terminologies
True,from,1057,Layer dependency respects inward/downward architecture.,interface,reimburse_atlas.cli,orchestration,reimburse_atlas.adapters
True,from,1058,Layer dependency respects inward/downward architecture.,interface,reimburse_atlas.cli,analysis,reimburse_atlas.analysis.mapping_evidence
True,from,1059,Layer dependency respects inward/downward architecture.,interface,reimburse_atlas.cli,foundation,reimburse_atlas.contracts
True,from,1066,Layer dependency respects inward/downward architecture.,interface,reimburse_atlas.cli,orchestration,reimburse_atlas.ingest
True,from,1067,Layer dependency respects inward/downward architecture.,interface,reimburse_atlas.cli,foundation,reimburse_atlas.models
True,from,1084,Layer dependency respects inward/downward architecture.,interface,reimburse_atlas.cli,foundation,reimburse_atlas.terminologies
True,from,16,Layer dependency respects inward/downward architecture.,foundation,reimburse_atlas.contracts,foundation,reimburse_atlas.models
True,from,8,Layer dependency respects inward/downward architecture.,analysis,reimburse_atlas.crosswalk,foundation,reimburse_atlas.contracts
True,from,15,Layer dependency respects inward/downward architecture.,orchestration,reimburse_atlas.datalake,foundation,reimburse_atlas.registry
True,from,11,Layer dependency respects inward/downward architecture.,analysis,reimburse_atlas.graph,foundation,reimburse_atlas.models
True,from,25,Layer dependency respects inward/downward architecture.,analysis,reimburse_atlas.graph,foundation,reimburse_atlas.terminologies
True,from,3,Layer dependency respects inward/downward architecture.,orchestration,reimburse_atlas.ingest,orchestration,reimburse_atlas.ingest.plan
True,from,18,Layer dependency respects inward/downward architecture.,orchestration,reimburse_atlas.ingest.plan,foundation,reimburse_atlas.models
True,from,15,Layer dependency respects inward/downward architecture.,orchestration,reimburse_atlas.ingestion,orchestration,reimburse_atlas.adapters
True,from,16,Layer dependency respects inward/downward architecture.,orchestration,reimburse_atlas.ingestion,foundation,reimburse_atlas.models
True,from,8,Layer dependency respects inward/downward architecture.,foundation,reimburse_atlas.licensing,foundation,reimburse_atlas.models
True,from,20,Layer dependency respects inward/downward architecture.,orchestration,reimburse_atlas.local_quality,foundation,reimburse_atlas.io
True,from,21,Layer dependency respects inward/downward architecture.,orchestration,reimburse_atlas.local_quality,foundation,reimburse_atlas.registry
True,from,22,Layer dependency respects inward/downward architecture.,orchestration,reimburse_atlas.local_quality,foundation,reimburse_atlas.toolchain
True,from,18,Layer dependency respects inward/downward architecture.,parsing,reimburse_atlas.local_sources,foundation,reimburse_atlas.contracts
True,from,23,Layer dependency respects inward/downward architecture.,parsing,reimburse_atlas.local_sources,foundation,reimburse_atlas.io
True,from,24,Layer dependency respects inward/downward architecture.,parsing,reimburse_atlas.local_sources,parsing,reimburse_atlas.parsers
True,from,32,Layer dependency respects inward/downward architecture.,parsing,reimburse_atlas.local_sources,parsing,reimburse_atlas.parsers.mbs_txt
True,from,33,Layer dependency respects inward/downward architecture.,parsing,reimburse_atlas.local_sources,foundation,reimburse_atlas.registry
True,from,34,Layer dependency respects inward/downward architecture.,parsing,reimburse_atlas.local_sources,parsing,reimburse_atlas.snapshots
True,from,12,Layer dependency respects inward/downward architecture.,interface,reimburse_atlas.mcp_server,analysis,reimburse_atlas.analysis
True,from,13,Layer dependency respects inward/downward architecture.,interface,reimburse_atlas.mcp_server,orchestration,reimburse_atlas.ingest
True,from,14,Layer dependency respects inward/downward architecture.,interface,reimburse_atlas.mcp_server,foundation,reimburse_atlas.registry
True,from,9,Layer dependency respects inward/downward architecture.,orchestration,reimburse_atlas.osf,foundation,reimburse_atlas.io
True,from,10,Layer dependency respects inward/downward architecture.,orchestration,reimburse_atlas.osf,foundation,reimburse_atlas.models
True,from,3,Layer dependency respects inward/downward architecture.,parsing,reimburse_atlas.parsers,parsing,reimburse_atlas.parsers.cms_asp_csv
True,from,4,Layer dependency respects inward/downward architecture.,parsing,reimburse_atlas.parsers,parsing,reimburse_atlas.parsers.cms_clfs_csv
True,from,5,Layer dependency respects inward/downward architecture.,parsing,reimburse_atlas.parsers,parsing,reimburse_atlas.parsers.cms_pfs_csv
True,from,6,Layer dependency respects inward/downward architecture.,parsing,reimburse_atlas.parsers,parsing,reimburse_atlas.parsers.fixture_schedule
True,from,7,Layer dependency respects inward/downward architecture.,parsing,reimburse_atlas.parsers,parsing,reimburse_atlas.parsers.mbs_txt
True,from,8,Layer dependency respects inward/downward architecture.,parsing,reimburse_atlas.parsers,parsing,reimburse_atlas.parsers.mbs_xml
True,from,9,Layer dependency respects inward/downward architecture.,parsing,reimburse_atlas.parsers,parsing,reimburse_atlas.parsers.nhs_genomic_directory_csv
True,from,10,Layer dependency respects inward/downward architecture.,parsing,reimburse_atlas.parsers,parsing,reimburse_atlas.parsers.pbs_csv
True,from,8,Layer dependency respects inward/downward architecture.,parsing,reimburse_atlas.parsers.base,foundation,reimburse_atlas.contracts
True,from,11,Layer dependency respects inward/downward architecture.,parsing,reimburse_atlas.parsers.cms_asp_csv,foundation,reimburse_atlas.contracts
True,from,12,Layer dependency respects inward/downward architecture.,parsing,reimburse_atlas.parsers.cms_asp_csv,foundation,reimburse_atlas.parsers.normalise
True,from,11,Layer dependency respects inward/downward architecture.,parsing,reimburse_atlas.parsers.cms_clfs_csv,foundation,reimburse_atlas.contracts
True,from,12,Layer dependency respects inward/downward architecture.,parsing,reimburse_atlas.parsers.cms_clfs_csv,foundation,reimburse_atlas.parsers.normalise
True,from,12,Layer dependency respects inward/downward architecture.,parsing,reimburse_atlas.parsers.cms_pfs_csv,foundation,reimburse_atlas.contracts
True,from,13,Layer dependency respects inward/downward architecture.,parsing,reimburse_atlas.parsers.cms_pfs_csv,foundation,reimburse_atlas.parsers.normalise
True,from,9,Layer dependency respects inward/downward architecture.,parsing,reimburse_atlas.parsers.fixture_schedule,foundation,reimburse_atlas.contracts
True,from,21,Layer dependency respects inward/downward architecture.,parsing,reimburse_atlas.parsers.mbs_txt,foundation,reimburse_atlas.contracts
True,from,22,Layer dependency respects inward/downward architecture.,parsing,reimburse_atlas.parsers.mbs_txt,foundation,reimburse_atlas.parsers.normalise
True,from,16,Layer dependency respects inward/downward architecture.,parsing,reimburse_atlas.parsers.mbs_xml,foundation,reimburse_atlas.contracts
True,from,17,Layer dependency respects inward/downward architecture.,parsing,reimburse_atlas.parsers.mbs_xml,foundation,reimburse_atlas.parsers.normalise
True,from,11,Layer dependency respects inward/downward architecture.,parsing,reimburse_atlas.parsers.nhs_genomic_directory_csv,foundation,reimburse_atlas.contracts
True,from,12,Layer dependency respects inward/downward architecture.,parsing,reimburse_atlas.parsers.nhs_genomic_directory_csv,foundation,reimburse_atlas.parsers.normalise
True,from,18,Layer dependency respects inward/downward architecture.,parsing,reimburse_atlas.parsers.pbs_csv,foundation,reimburse_atlas.contracts
True,from,19,Layer dependency respects inward/downward architecture.,parsing,reimburse_atlas.parsers.pbs_csv,foundation,reimburse_atlas.parsers.normalise
True,from,9,Layer dependency respects inward/downward architecture.,analysis,reimburse_atlas.policy_metrics,foundation,reimburse_atlas.contracts
True,from,10,Layer dependency respects inward/downward architecture.,analysis,reimburse_atlas.policy_metrics,foundation,reimburse_atlas.models
True,from,12,Layer dependency respects inward/downward architecture.,orchestration,reimburse_atlas.publication,foundation,reimburse_atlas.registry
True,from,7,Layer dependency respects inward/downward architecture.,foundation,reimburse_atlas.quality,foundation,reimburse_atlas.models
True,from,13,Layer dependency respects inward/downward architecture.,foundation,reimburse_atlas.registry,foundation,reimburse_atlas.contracts
True,from,14,Layer dependency respects inward/downward architecture.,foundation,reimburse_atlas.registry,foundation,reimburse_atlas.models
True,from,31,Layer dependency respects inward/downward architecture.,foundation,reimburse_atlas.registry,foundation,reimburse_atlas.terminologies
True,from,11,Layer dependency respects inward/downward architecture.,orchestration,reimburse_atlas.release_readiness,foundation,reimburse_atlas.io
True,from,12,Layer dependency respects inward/downward architecture.,orchestration,reimburse_atlas.release_readiness,foundation,reimburse_atlas.registry
True,from,9,Layer dependency respects inward/downward architecture.,orchestration,reimburse_atlas.research_package,orchestration,reimburse_atlas.publication
True,from,8,Layer dependency respects inward/downward architecture.,analysis,reimburse_atlas.review_queue,foundation,reimburse_atlas.contracts
True,from,12,Layer dependency respects inward/downward architecture.,analysis,reimburse_atlas.scoring,foundation,reimburse_atlas.models
True,from,13,Layer dependency respects inward/downward architecture.,parsing,reimburse_atlas.snapshots,foundation,reimburse_atlas.contracts
True,from,14,Layer dependency respects inward/downward architecture.,parsing,reimburse_atlas.snapshots,foundation,reimburse_atlas.registry
True,from,15,Layer dependency respects inward/downward architecture.,orchestration,reimburse_atlas.source_downloads,foundation,reimburse_atlas.io
True,from,16,Layer dependency respects inward/downward architecture.,orchestration,reimburse_atlas.source_downloads,foundation,reimburse_atlas.models
True,from,16,Layer dependency respects inward/downward architecture.,foundation,reimburse_atlas.terminologies,foundation,reimburse_atlas.models
True,from,17,Layer dependency respects inward/downward architecture.,foundation,reimburse_atlas.terminologies,foundation,reimburse_atlas.parsers.normalise
True,from,11,Layer dependency respects inward/downward architecture.,foundation,reimburse_atlas.validation,foundation,reimburse_atlas.registry
True,from,10,Layer dependency respects inward/downward architecture.,analysis,reimburse_atlas.vector_index,analysis,reimburse_atlas.analysis.mapping_evidence
True,from,11,Layer dependency respects inward/downward architecture.,analysis,reimburse_atlas.vector_index,foundation,reimburse_atlas.contracts
True,from,12,Layer dependency respects inward/downward architecture.,analysis,reimburse_atlas.warehouse,foundation,reimburse_atlas.registry
